VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5UXTA6C0XM,Kitsap,Seabeck,WA,98380,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,35,267929112,POINT (-122.8728334 47.5798304),PUGET SOUND ENERGY INC,53035091301
5YJ3E1EB1J,Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,475911439,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035091100
WP0AD2A73G,Snohomish,Bothell,WA,98012,2016,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,0,1,101971278,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
5YJ3E1EB5J,Kitsap,Bremerton,WA,98310,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,474363746,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080200
1N4AZ1CP3K,King,Redmond,WA,98052,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,45,476346482,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
3FA6P0PU5F,Snohomish,Bothell,WA,98012,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,21,9620047,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061041704
5YJYGDEEXL,King,Renton,WA,98055,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,11,124565731,POINT (-122.2003346 47.4487206),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805
5UXTS1C06M,King,Seattle,WA,98107,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,36,135327104,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004702
1N4AZ0CP0F,King,Bellevue,WA,98007,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,48,105509778,POINT (-122.1436732 47.6157551),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300
5YJSA1E20H,King,Seattle,WA,98125,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,46,348605603,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900
1G1FX6S03H,Kitsap,Port Orchard,WA,98366,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,26,176855283,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092200
5YJ3E1EA5K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,110038288,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041812
JTMAB3FV5R,Kitsap,Poulsbo,WA,98370,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,23,271853067,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
5YJSA1DPXC,Thurston,Olympia,WA,98502,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,22,188634442,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
YV4H60LF5R,Yakima,Yakima,WA,98908,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,14,267393759,POINT (-120.611068 46.596645),PACIFICORP,53077000402
5YJYGDEF8L,Snohomish,Edmonds,WA,98026,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,21,112172084,POINT (-122.338942 47.821454),PUGET SOUND ENERGY INC,53061050101
5YJ3E1EA6L,King,Duvall,WA,98019,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,45,107653255,POINT (-121.956372 47.735604),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401
1C4RJXN64R,Thurston,Olympia,WA,98502,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,270975064,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
5YJSA1H28F,King,Bothell,WA,98011,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,1,162167414,POINT (-122.201408 47.754528),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021803
5YJ3E1EB7K,King,Seattle,WA,98115,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,46,305583925,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000
WAUTPBFF0G,Kitsap,Bainbridge Island,WA,98110,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,23,148383448,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090700
WVWKP7AU6G,Yakima,Tieton,WA,98947,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,14,477758340,POINT (-120.7482919 46.7020975),PACIFICORP,53077002900
5YJ3E1EB1J,King,Issaquah,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5,271977282,POINT (-122.0402383 47.5276876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103
5YJSA1H26F,Kitsap,Poulsbo,WA,98370,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,23,247898661,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090201
1FT6W1EV9N,Yakima,Yakima,WA,98903,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,219992020,POINT (-120.5807155 46.5654909),PACIFICORP,53077002803
KNDCC3LG7L,King,Kent,WA,98030,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,47,144196888,POINT (-122.1994204 47.3741045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029508
5YJYGDEE2L,Snohomish,Lynnwood,WA,98036,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,183054350,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051916
KNDCC3LG5L,King,Seatac,WA,98198,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,33,144140664,POINT (-122.3145447 47.3984346),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028300
7SAYGDEE9P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,240434155,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
YV4H60DJ1R,Snohomish,Bothell,WA,98021,2024,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,1,269459816,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051918
7SAYGAEE7P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,245450600,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051933
5YJXCAE2XJ,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,474826075,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051914
5UXKT0C51G,Thurston,Olympia,WA,98512,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,35,326783089,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012610
1N4AZ1CP0K,Kitsap,Bremerton,WA,98312,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,35,8795643,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035092102
5YJ3E1EB6J,King,Seattle,WA,98102,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,43,131570442,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006600
5YJ3E1EB9J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,475286220,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EB3K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,478641796,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041703
YV4BR00K3M,Snohomish,Bothell,WA,98012,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,1,153808630,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052107
WBY1Z2C52F,Kitsap,Bremerton,WA,98312,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,26,183220649,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035081200
5YJ3E1EA5K,Yakima,Yakima,WA,98903,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,198205521,POINT (-120.5807155 46.5654909),PACIFICORP,53077002803
1N4BZ1CP1K,Snohomish,Snohomish,WA,98296,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,1,121646780,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052113
7PDSGABAXP,Snohomish,Brier,WA,98036,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,261988107,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051913
5YJSA1E20J,Snohomish,Lynnwood,WA,98036,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,32,185249781,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051500
5UX43EU04S,Yakima,Yakima,WA,98902,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,0,14,268086640,POINT (-120.530331 46.59534),PACIFICORP,53077000800
WBA5P7C0XM,King,Seattle,WA,98106,2021,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,34,273702026,POINT (-122.3570816 47.5337116),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010701
JTMFB3FV9M,Kitsap,Poulsbo,WA,98370,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,23,190236175,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090501
1C4JJXP69N,Kitsap,Port Orchard,WA,98367,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,26,202073777,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092902
WBY8P4C00L,King,Seattle,WA,98109,2020,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,0,36,273662329,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007002
1FADP3R47H,King,Seattle,WA,98125,2017,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,100,0,46,350362484,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000202
WMWXP3C05M,King,Kirkland,WA,98033,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,0,45,122972090,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402
5YJXCBE20H,King,Seattle,WA,98134,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,11,236117108,POINT (-122.3290729 47.5773571),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300
WBY1Z2C59F,King,Seattle,WA,98117,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,36,167141285,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003202
1N4AZ0CP6F,King,Seattle,WA,98117,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,36,207969247,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003100
JTDKARFP2H,Yakima,Yakima,WA,98902,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,115760025,POINT (-120.530331 46.59534),PACIFICORP,53077000800
7SAYGDEE8P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,224587142,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051934
1N4BZ0CPXG,Kitsap,Bremerton,WA,98312,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,35,221410255,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035091301
5YJ3E1EA6P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,228842246,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
5YJ3E1EA5P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,240400765,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051917
KNDRMDLH7P,Thurston,Olympia,WA,98501,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,22,236654722,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
5YJSA1E27G,Yakima,Yakima,WA,98908,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,14,136961723,POINT (-120.611068 46.596645),PACIFICORP,53077000401
5UXTS1C08M,King,Bellevue,WA,98006,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,41,141984146,POINT (-122.144149 47.560742),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901
1N4BZ0CP7H,Kitsap,Poulsbo,WA,98370,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,23,167129224,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
1N4AZ0CPXD,Thurston,Olympia,WA,98501,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,5617937,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
5YJXCDE2XJ,Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,23,203453883,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035940100
5YJ3E1EA2J,Yakima,Naches,WA,98937,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,190294891,POINT (-120.7451856 46.7416386),PACIFICORP,53077003002
WMZ23BS00P,Yakima,Yakima,WA,98902,2023,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,14,260726455,POINT (-120.530331 46.59534),PACIFICORP,53077000800
KNDCT3L17P,Kitsap,Bremerton,WA,98310,2023,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,228680609,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035091800
1N4AZ1CP4J,Snohomish,Bothell,WA,98012,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,1,325466319,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
WA1VAAGE5K,Snohomish,Bothell,WA,98012,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,21,194869692,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051927
1G1FW6S0XH,Thurston,Olympia,WA,98506,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,259201309,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012223
5YJ3E1EA9L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,44,2202798,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052007
KNDC3DLC9P,Thurston,Lacey,WA,98503,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,240395025,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011300
YV4H60CM5N,Thurston,Tumwater,WA,98512,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,22,199115983,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
7SAYGDEE4P,Kitsap,Kingston,WA,98346,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,257596132,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090202
5YJ3E1EA2J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,349687754,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
5YJ3E1EB5J,Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,142481209,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090202
5YJXCDE29L,King,Burien,WA,98166,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,34,4951446,POINT (-122.3472273 47.4568458),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027800
5UXKT0C57J,Kitsap,Poulsbo,WA,98370,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,23,252602409,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
KNDCE3LG0L,Kitsap,Bainbridge Island,WA,98110,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,23,271074352,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091001
5YJ3E1EAXP,Kitsap,Bremerton,WA,98312,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,259155340,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080700
JTJAAAAB9R,Thurston,Lacey,WA,98516,2024,LEXUS,RZ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,267010523,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012226
5YJ3E1EB0J,King,Seattle,WA,98126,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,34,148845742,POINT (-122.3752214 47.5465949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010701
1N4CZ1CV3S,Yakima,Zillah,WA,98953,2025,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,273676672,POINT (-120.2658133 46.4063477),PACIFICORP,53077002201
KMHC75LJ2L,Kitsap,Bremerton,WA,98311,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,170,0,23,270084895,POINT (-122.636245 47.62806),PUGET SOUND ENERGY INC,53035091900
7SAYGDEE7P,Yakima,Yakima,WA,98908,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,240646983,POINT (-120.611068 46.596645),PACIFICORP,53077000401
5YJXCDE2XL,Snohomish,Snohomish,WA,98296,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,44,5001832,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052008
WBY1Z4C58F,King,Seattle,WA,98116,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,34,143756140,POINT (-122.395519 47.572137),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009802
JM3KKDHA7R,Snohomish,Lake Stevens,WA,98258,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,39,245826283,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061053603
1N4AZ0CPXG,Kitsap,Suquamish,WA,98392,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,210366880,POINT (-122.5591128 47.7346457),PUGET SOUND ENERGY INC,53035940100
1G1FZ6S07L,Kitsap,Olalla,WA,98359,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,26,122683452,POINT (-122.5730403 47.4282964),PUGET SOUND ENERGY INC,53035092802
1N4BZ0CP5G,King,Seattle,WA,98115,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,46,348644460,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200
5YJ3E1EB2J,King,Issaquah,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5,111930983,POINT (-122.0402383 47.5276876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104
WBAJA9C51J,Thurston,Lacey,WA,98516,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,22,194339561,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012226
JN1AZ0CPXB,Snohomish,Everett,WA,98204,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,38,169709214,POINT (-122.2507211 47.8976713),PUGET SOUND ENERGY INC,53061041907
YV4BR00L0N,Snohomish,Mukilteo,WA,98275,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,21,194297813,POINT (-122.29943 47.912654),PUGET SOUND ENERGY INC,53061042001
YV4BK0DP8L,Kitsap,Bremerton,WA,98311,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,23,144646673,POINT (-122.636245 47.62806),PUGET SOUND ENERGY INC,53035091702
JTDKARFP7H,Thurston,Olympia,WA,98506,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,22,280852995,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
5YJ3E1EA5L,King,Seattle,WA,98115,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,46,2218618,POINT (-122.3008235 47.6862671),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033004000
1N4AZ0CP7F,King,Issaquah,WA,98027,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,5,172254533,POINT (-122.0402383 47.5276876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103
KNDCC3LGXK,King,Bellevue,WA,98005,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,41,194293487,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604
